collection#00,collection#01,collection#02,collection#03,collection#04,collection#05,collection#06,collection#07,collection#08,collection#09,collection#10,collection#11
7,6,4,7,3,5,7,7,2,7,7,1
8,6,4,8,3,4,8,8,2,6,8,1
8,6,4,8,3,5,8,8,2,6,8,1
8,6,4,8,3,5,8,8,2,6,8,1
8,6,4,8,3,5,8,8,2,6,8,1
8,6,4,8,3,5,8,8,2,6,8,1
8,6,4,8,3,5,8,8,2,6,8,1
8,6,4,8,3,5,8,8,2,6,8,1
8,6,4,8,3,5,8,8,2,6,8,1
10,6,4,10,3,5,10,8,2,7,8,1
10,6,4,10,3,5,10,8,2,7,8,1
10,6,4,10,3,5,10,9,2,7,7,1
10,6,4,10,3,5,10,9,2,7,7,1
10,6,4,10,3,5,10,9,2,7,7,1
10,6,4,10,3,5,10,9,2,7,7,1
10,6,4,10,3,5,10,9,2,7,7,1
10,6,4,10,2,5,10,9,3,7,7,1
10,5,4,10,2,5,10,9,3,7,7,1
10,5,4,10,2,5,10,9,3,7,7,1
10,5,4,10,2,5,10,9,3,7,7,1
10,4,4,10,2,6,10,9,3,7,7,1
10,5,4,10,2,6,10,9,3,7,7,1
10,5,4,10,2,6,10,9,3,7,7,1
11,4,5,11,2,6,9,9,3,7,7,1
11,4,5,11,2,6,10,7,3,7,7,1
10,4,5,12,2,6,10,8,3,7,8,1
10,4,5,12,2,6,10,8,3,7,8,1
10,4,5,12,2,6,10,8,3,7,8,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,8,1
10,4,5,12,2,6,10,8,3,7,8,1
10,4,5,12,2,6,10,8,3,7,8,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
10,4,5,12,2,6,10,8,3,7,9,1
