YearMonth,Number of articles
2002-07,136
2002-08,8
2002-09,44
2002-10,64
2002-11,3
2002-12,108
2003-01,2
2003-02,13
2003-03,9
2003-04,15
2003-05,18
2003-06,10
2003-07,10
2003-08,12
2003-09,20
2003-10,13
2003-11,15
2003-12,22
2004-01,22
2004-02,39
2004-03,27
2004-04,103
2004-05,57
2004-06,48
2004-07,39
2004-08,37
2004-09,27
2004-10,30
2004-11,30
2004-12,34
2005-01,31
2005-02,40
2005-03,93
2005-04,41
2005-05,29
2005-06,24
2005-07,45
2005-08,39
2005-09,32
2005-10,33
2005-11,30
2005-12,29
2006-01,61
2006-02,20
2006-03,34
2006-04,28
2006-05,50
2006-06,27
2006-07,32
2006-08,36
2006-09,25
2006-10,26
2006-11,28
2006-12,30
2007-01,35
2007-02,24
2007-03,44
2007-04,91
2007-05,39
2007-06,20
2007-07,26
2007-08,23
2007-09,22
2007-10,32
2007-11,20
2007-12,28
2008-01,31
2008-02,24
2008-03,15
2008-04,25
2008-05,24
2008-06,132
2008-07,22
2008-08,37
2008-09,16
2008-10,19
2008-11,20
2008-12,29
2009-01,19
2009-02,12
2009-03,16
2009-04,20
2009-05,36
2009-06,19
2009-07,32
2009-08,16
2009-09,24
2009-10,22
2009-11,21
2009-12,26
2010-01,24
2010-02,20
2010-03,40
2010-04,23
2010-05,33
2010-06,22
2010-07,16
2010-08,30
2010-09,15
2010-10,58
2010-11,12
2010-12,9
2011-01,20
2011-02,21
2011-03,25
2011-04,16
2011-05,64
2011-06,8
2011-07,24
2011-08,87
2011-09,99
2011-10,22
2011-11,26
2011-12,12
2012-01,20
2012-02,30
2012-03,28
2012-04,91
2012-05,42
2012-06,52
2012-07,20
2012-08,42
2012-09,60
2012-10,27
2012-11,50
2012-12,23
2013-01,16
2013-02,16
2013-03,25
2013-04,45
2013-05,34
2013-06,47
2013-07,34
2013-08,46
2013-09,35
2013-10,43
2013-11,32
2013-12,25
2014-01,24
2014-02,36
2014-03,30
2014-04,65
2014-05,44
2014-06,33
2014-07,34
2014-08,31
2014-09,28
2014-10,44
2014-11,41
2014-12,27
2015-01,23
2015-02,44
2015-03,36
2015-04,31
2015-05,26
2015-06,35
2015-07,36
2015-08,61
2015-09,32
2015-10,29
2015-11,28
2015-12,48
2016-01,42
2016-02,37
2016-03,72
2016-04,34
2016-05,41
2016-06,34
2016-07,27
2016-08,29
2016-09,34
2016-10,29
2016-11,30
2016-12,33
2017-01,43
2017-02,35
2017-03,26
2017-04,42
2017-05,26
2017-06,31
2017-07,29
2017-08,54
2017-09,23
2017-10,58
2017-11,31
2017-12,28
2018-01,31
2018-02,31
2018-03,52
2018-04,33
2018-05,45
2018-06,36
2018-07,33
2018-08,36
2018-09,39
2018-10,34
2018-11,38
2018-12,33
2019-01,44
2019-02,32
2019-03,41
2019-04,39
2019-05,41
2019-06,35
2019-07,38
2019-08,51
2019-09,49
2019-10,58
2019-11,52
2019-12,92
2020-01,409
2020-02,1166
2020-03,4350
2020-04,11954
2020-05,15588
2020-06,15723
2020-07,15855
2020-08,14371
2020-09,15600
2020-10,16416
2020-11,16019
2020-12,17062
2021-01,17110
2021-02,16677
2021-03,19732
2021-04,17707
2021-05,19561
2021-06,20133
2021-07,19215
2021-08,16772
2021-09,18204
2021-10,19761
2021-11,18996
2021-12,21172
2022-01,19961
2022-02,18198
2022-03,19533
2022-04,17913
2022-05,17929
