0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.043,0.015,0.094,0.024,0.042,0.098,0.032,0.247,0.029,0.055,0.023
0.043,0.0,0.037,0.03,0.18,0.142,0.047,0.07,0.171,0.026,0.067,0.045
0.015,0.037,0.0,0.018,0.065,0.032,0.03,0.04,0.077,0.021,0.016,0.115
0.094,0.03,0.018,0.0,0.019,0.027,0.068,0.026,0.186,0.023,0.033,0.017
0.024,0.18,0.065,0.019,0.0,0.091,0.03,0.067,0.13,0.071,0.029,0.157
0.042,0.142,0.032,0.027,0.091,0.0,0.031,0.054,0.078,0.035,0.029,0.028
0.098,0.047,0.03,0.068,0.03,0.031,0.0,0.035,0.215,0.038,0.057,0.011
0.032,0.07,0.04,0.026,0.067,0.054,0.035,0.0,0.072,0.021,0.064,0.044
0.247,0.171,0.077,0.186,0.13,0.078,0.215,0.072,0.0,0.044,0.035,0.132
0.029,0.026,0.021,0.023,0.071,0.035,0.038,0.021,0.044,0.0,0.009,0.009
0.055,0.067,0.016,0.033,0.029,0.029,0.057,0.064,0.035,0.009,0.0,0.066
0.023,0.045,0.115,0.017,0.157,0.028,0.011,0.044,0.132,0.009,0.066,0.0
