Source,Target,Label,Weight
Cluster#0,Cluster#1,3819,0.043
Cluster#0,Cluster#2,697,0.015
Cluster#0,Cluster#3,4162,0.094
Cluster#0,Cluster#4,1339,0.024
Cluster#0,Cluster#5,1693,0.042
Cluster#0,Cluster#6,5172,0.098
Cluster#0,Cluster#7,1300,0.032
Cluster#0,Cluster#8,59041,0.247
Cluster#0,Cluster#9,1069,0.029
Cluster#0,Cluster#10,1865,0.055
Cluster#0,Cluster#11,1070,0.023
Cluster#1,Cluster#0,3819,0.043
Cluster#1,Cluster#2,3096,0.037
Cluster#1,Cluster#3,2467,0.03
Cluster#1,Cluster#4,16799,0.18
Cluster#1,Cluster#5,11174,0.142
Cluster#1,Cluster#6,4328,0.047
Cluster#1,Cluster#7,5567,0.07
Cluster#1,Cluster#8,47463,0.171
Cluster#1,Cluster#9,1986,0.026
Cluster#1,Cluster#10,4846,0.067
Cluster#1,Cluster#11,3811,0.045
Cluster#2,Cluster#0,697,0.015
Cluster#2,Cluster#1,3096,0.037
Cluster#2,Cluster#3,704,0.018
Cluster#2,Cluster#4,3223,0.065
Cluster#2,Cluster#5,1130,0.032
Cluster#2,Cluster#6,1408,0.03
Cluster#2,Cluster#7,1445,0.04
Cluster#2,Cluster#8,18023,0.077
Cluster#2,Cluster#9,654,0.021
Cluster#2,Cluster#10,467,0.016
Cluster#2,Cluster#11,4671,0.115
Cluster#3,Cluster#0,4162,0.094
Cluster#3,Cluster#1,2467,0.03
Cluster#3,Cluster#2,704,0.018
Cluster#3,Cluster#4,939,0.019
Cluster#3,Cluster#5,932,0.027
Cluster#3,Cluster#6,3174,0.068
Cluster#3,Cluster#7,901,0.026
Cluster#3,Cluster#8,43279,0.186
Cluster#3,Cluster#9,700,0.023
Cluster#3,Cluster#10,914,0.033
Cluster#3,Cluster#11,661,0.017
Cluster#4,Cluster#0,1339,0.024
Cluster#4,Cluster#1,16799,0.18
Cluster#4,Cluster#2,3223,0.065
Cluster#4,Cluster#3,939,0.019
Cluster#4,Cluster#5,4071,0.091
Cluster#4,Cluster#6,1718,0.03
Cluster#4,Cluster#7,3040,0.067
Cluster#4,Cluster#8,31741,0.13
Cluster#4,Cluster#9,2876,0.071
Cluster#4,Cluster#10,1125,0.029
Cluster#4,Cluster#11,7900,0.157
Cluster#5,Cluster#0,1693,0.042
Cluster#5,Cluster#1,11174,0.142
Cluster#5,Cluster#2,1130,0.032
Cluster#5,Cluster#3,932,0.027
Cluster#5,Cluster#4,4071,0.091
Cluster#5,Cluster#6,1313,0.031
Cluster#5,Cluster#7,1674,0.054
Cluster#5,Cluster#8,17745,0.078
Cluster#5,Cluster#9,920,0.035
Cluster#5,Cluster#10,682,0.029
Cluster#5,Cluster#11,1014,0.028
Cluster#6,Cluster#0,5172,0.098
Cluster#6,Cluster#1,4328,0.047
Cluster#6,Cluster#2,1408,0.03
Cluster#6,Cluster#3,3174,0.068
Cluster#6,Cluster#4,1718,0.03
Cluster#6,Cluster#5,1313,0.031
Cluster#6,Cluster#7,1531,0.035
Cluster#6,Cluster#8,51799,0.215
Cluster#6,Cluster#9,1469,0.038
Cluster#6,Cluster#10,2051,0.057
Cluster#6,Cluster#11,511,0.011
Cluster#7,Cluster#0,1300,0.032
Cluster#7,Cluster#1,5567,0.07
Cluster#7,Cluster#2,1445,0.04
Cluster#7,Cluster#3,901,0.026
Cluster#7,Cluster#4,3040,0.067
Cluster#7,Cluster#5,1674,0.054
Cluster#7,Cluster#6,1531,0.035
Cluster#7,Cluster#8,16448,0.072
Cluster#7,Cluster#9,561,0.021
Cluster#7,Cluster#10,1577,0.064
Cluster#7,Cluster#11,1619,0.044
Cluster#8,Cluster#0,59041,0.247
Cluster#8,Cluster#1,47463,0.171
Cluster#8,Cluster#2,18023,0.077
Cluster#8,Cluster#3,43279,0.186
Cluster#8,Cluster#4,31741,0.13
Cluster#8,Cluster#5,17745,0.078
Cluster#8,Cluster#6,51799,0.215
Cluster#8,Cluster#7,16448,0.072
Cluster#8,Cluster#9,9842,0.044
Cluster#8,Cluster#10,7767,0.035
Cluster#8,Cluster#11,31004,0.132
Cluster#9,Cluster#0,1069,0.029
Cluster#9,Cluster#1,1986,0.026
Cluster#9,Cluster#2,654,0.021
Cluster#9,Cluster#3,700,0.023
Cluster#9,Cluster#4,2876,0.071
Cluster#9,Cluster#5,920,0.035
Cluster#9,Cluster#6,1469,0.038
Cluster#9,Cluster#7,561,0.021
Cluster#9,Cluster#8,9842,0.044
Cluster#9,Cluster#10,179,0.009
Cluster#9,Cluster#11,280,0.009
Cluster#10,Cluster#0,1865,0.055
Cluster#10,Cluster#1,4846,0.067
Cluster#10,Cluster#2,467,0.016
Cluster#10,Cluster#3,914,0.033
Cluster#10,Cluster#4,1125,0.029
Cluster#10,Cluster#5,682,0.029
Cluster#10,Cluster#6,2051,0.057
Cluster#10,Cluster#7,1577,0.064
Cluster#10,Cluster#8,7767,0.035
Cluster#10,Cluster#9,179,0.009
Cluster#10,Cluster#11,1936,0.066
Cluster#11,Cluster#0,1070,0.023
Cluster#11,Cluster#1,3811,0.045
Cluster#11,Cluster#2,4671,0.115
Cluster#11,Cluster#3,661,0.017
Cluster#11,Cluster#4,7900,0.157
Cluster#11,Cluster#5,1014,0.028
Cluster#11,Cluster#6,511,0.011
Cluster#11,Cluster#7,1619,0.044
Cluster#11,Cluster#8,31004,0.132
Cluster#11,Cluster#9,280,0.009
Cluster#11,Cluster#10,1936,0.066
