container_title,Number of publications
nan,65851
SSRN Electronic Journal,10072
International Journal of Environmental Research and Public Health,4374
PLOS ONE,3528
BMJ,2352
Sustainability,2087
Scientific Reports,2085
Cureus,1850
Frontiers in Psychology,1745
Frontiers in Public Health,1708
Emerald Expert Briefings,1459
Open Forum Infectious Diseases,1374
Vaccines,1333
Faculty Opinions  PostPublication Peer Review of the Biomedical Literature,1254
International Journal of Infectious Diseases,1236
Viruses,1227
BMJ Open,1201
Journal of Virology,1200
Journal of Clinical Medicine,1199
Frontiers in Immunology,1197
Clinical Infectious Diseases,1175
Journal of Physics Conference Series,1144
Frontiers in Medicine,1054
British Journal of Surgery,1005
Innovation in Aging,990
Science,894
Frontiers in Psychiatry,885
IOP Conference Series Earth and Environmental Science,854
The Lancet,846
European Journal of Public Health,804
Journal of Medical Internet Research,754
Journal of Infection,753
JAMA,742
Nature,718
Healthcare,718
Blood,713
BMC Public Health,683
Science of The Total Environment,680
Annals of the Rheumatic Diseases,675
Nature Communications,665
JAMA Network Open,661
Infection Control amp Hospital Epidemiology,637
International Journal of Molecular Sciences,632
Emerging Infectious Diseases,623
F1000Research,589
Disaster Medicine and Public Health Preparedness,588
BMC Infectious Diseases,587
New England Journal of Medicine,583
E3S Web of Conferences,576
Proceedings of the National Academy of Sciences,573
The Journal of Infectious Diseases,514
Journal of Pharmaceutical Research International,511
Vaccine,506
Circulation,497
BMJ Case Reports,495
Medicine,489
Annals of Internal Medicine,482
AEA Randomized Controlled Trials,482
American Journal of Gastroenterology,480
Journal of Public Health,478
The Lancet Infectious Diseases,473
European Heart Journal,470
Critical Care,465
International Journal Of Community Medicine And Public Health,464
Medical Hypotheses,454
The American Journal of Emergency Medicine,454
Journal of Biomolecular Structure and Dynamics,446
Nutrients,441
Frontiers in Pharmacology,439
MMWR Morbidity and Mortality Weekly Report,438
Clinical Microbiology and Infection,433
Critical Care Medicine,432
European Psychiatry,425
Diagnostics,416
Journal of Clinical Oncology,414
Indian Journal of Ophthalmology,400
Heliyon,398
The American Journal of Tropical Medicine and Hygiene,397
Pan African Medical Journal,393
Virology,383
Human Vaccines amp Immunotherapeutics,383
Annals of Medicine and Surgery,382
Epidemiology and Infection,379
Journal of Family Medicine and Primary Care,378
Eurosurveillance,377
Public Health,376
American Journal of Obstetrics and Gynecology,374
Journal of Clinical Microbiology,370
Nephrology Dialysis Transplantation,369
SHS Web of Conferences,369
The Lancet Respiratory Medicine,369
Open Access Macedonian Journal of Medical Sciences,369
Forefront Group,365
American Journal of Public Health,364
BMJ Global Health,350
Journal of Clinical Virology,350
Psychiatry Research,348
Diabetes amp Metabolic Syndrome Clinical Research amp Reviews,345
Applied Sciences,342
JMIR Public Health and Surveillance,341
Environmental Science and Pollution Research,339
Annals of Oncology,338
Journal of the Neurological Sciences,337
International journal of health sciences,335
Journal of Infection and Public Health,334
Trials,331
Nature Medicine,329
Frontiers in Microbiology,322
Frontiers in Pediatrics,319
International Journal of Research in Pharmaceutical Sciences,319
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,316
Journal of General Internal Medicine,311
Asian Journal of Psychiatry,309
Journal of Affective Disorders,308
International Journal for Research in Applied Science and Engineering Technology,308
Travel Medicine and Infectious Disease,306
Wellcome Open Research,303
IOP Conference Series Materials Science and Engineering,303
Journal of Korean Medical Science,302
Pathogens,300
Journal of the American Academy of Dermatology,296
Emerging Microbes amp Infections,295
Environmental Research,295
