publisher,Number of publications
Elsevier BV,67611
Springer Science and Business Media LLC,32731
Cold Spring Harbor Laboratory,24436
MDPI AG,22785
Oxford University Press (OUP),14768
Research Square Platform LLC,13126
Informa UK Limited,12926
SAGE Publications,12305
Frontiers Media SA,11271
Ovid Technologies (Wolters Kluwer Health),8898
BMJ,7754
JMIR Publications Inc.,5656
Emerald,5059
Center for Open Science,4741
Medknow,4305
Public Library of Science (PLoS),4266
Cambridge University Press (CUP),4155
IEEE,3676
American Chemical Society (ACS),3542
Springer International Publishing,3484
Wiley,3349
IOP Publishing,2625
American Society for Microbiology,2544
American Medical Association (AMA),2465
"Authorea, Inc.",2369
IGI Global,2269
Worldwide Protein Data Bank,2126
Walter de Gruyter GmbH,1873
"Cureus, Inc.",1850
PeerJ,1768
FapUNIFESP (SciELO),1690
Georg Thieme Verlag KG,1679
Hindawi Limited,1650
American Thoracic Society,1619
Bentham Science Publishers Ltd.,1588
Atlantis Press,1544
American Association for the Advancement of Science (AAAS),1380
Mary Ann Liebert Inc,1374
Faculty Opinions Ltd,1256
American Psychological Association (APA),1252
Springer Singapore,1225
Mark Allen Group,1204
F1000 Research Ltd,1202
Institute of Electrical and Electronics Engineers (IEEE),1162
Sciencedomain International,1150
Medip Academy,1106
EDP Sciences,1097
Routledge,983
S. Karger AG,904
IOS Press,867
American Society of Hematology,816
MIT Press - Journals,806
European Respiratory Society,804
Royal College of Psychiatrists,783
Knowledge E,777
ACM,758
Egypts Presidential Specialized Council for Education and Scientific Research,718
AME Publishing Company,689
"Scientific Research Publishing, Inc.",677
Copernicus GmbH,669
Centers for Disease Control and Prevention (CDC),669
Edizioni Minerva Medica,649
American Society of Clinical Oncology (ASCO),647
Maad Rayan Publishing Company,629
Inderscience Publishers,614
Massachusetts Medical Society,613
Nepal Journals Online (JOL),612
"ZappyLab, Inc.",608
Briefland,583
"Rescognito, Inc.",574
Proceedings of the National Academy of Sciences,573
Baishideng Publishing Group Inc.,569
Jaypee Brothers Medical Publishing,545
American Economic Association,537
World Wide Journals,514
Elsevier,508
Galenos Yayinevi,492
Oxford University Press,492
American College of Physicians,487
European Respiratory Society (ERS),473
Health Affairs (Project Hope),469
Centers for Disease Control MMWR Office,442
Pan African Medical Journal,439
PAGEPress Publications,434
"eLife Sciences Publications, Ltd",433
Centre for Evaluation in Education and Science (CEON/CEES),424
IntechOpen,423
Springer US,423
Royal Society of Chemistry (RSC),419
ScopeMed,418
Organisation for Economic Co-Operation and Development  (OECD),415
Bangladesh Journals Online (JOL),414
Qeios Ltd,410
Future Medicine Ltd,408
Springer Nature Singapore,408
Royal Pharmaceutical Society,403
AVES Publishing Co.,403
American Society of Tropical Medicine and Hygiene,397
Kare Publishing,384
ECO-Vector LLC,383
European Centre for Disease Control and Prevention (ECDC),382
American Diabetes Association,378
Scientific Foundation SPIROSKI,374
Bristol University Press,372
American Public Health Association,368
Microbiology Society,368
American Academy of Pediatrics (AAP),364
Scientific Scholar,362
The Royal Society,361
EAI,358
Acta Scientific Publications Pvt. Ltd.,357
Termedia Sp. z.o.o.,354
CRC Press,344
Bioscientifica,343
AIP Publishing,342
Universidad Tecnica de Manabi,340
Institute of Medico-legal Publications Private Limited,334
JCDR Research and Publications,333
IP Innovative Publication Pvt Ltd,329
VM Media SP. zo.o VM Group SK,327
GP Innovations Pvt. Ltd.,325
International Monetary Fund (IMF),318
American Institute of Mathematical Sciences (AIMS),318
BMJ Publishing Group Ltd,313
Association for Computing Machinery (ACM),310
International Journal for Research in Applied Science and Engineering Technology (IJRASET),308
Korean Academy of Medical Sciences,302
AOSIS,300
Canadian Center of Science and Education,296
International Global Health Society,294
National Bureau of Economic Research,293
Diva Enterprises Private Limited,292
Lahore Medical and Dental College,292
Universitas Airlangga,291
Project Muse,291
"Publicidad Permanyer, SLU",287
"Computers, Materials and Continua (Tech Science Press)",284
CMV Verlag,279
International Food Policy Research Institute,278
"International Scientific Information, Inc.",275
South Florida Publishing LLC,273
Policy Press,271
SASPR Edu International Pvt. Ltd,270
Media Sphere Publishing Group,270
Royal College of Physicians,267
"Auricle Technologies, Pvt., Ltd.",264
PANORAMA Publishing House,263
World Scientific Pub Co Pte Lt,262
American Association for Cancer Research (AACR),260
The Endocrine Society,258
Brill,256
Radiological Society of North America (RSNA),255
OECD,254
Sri Lanka Journals Online (JOL),248
"Biomedical Research Network, LLC",248
ClinMed International Library,242
Auctores Publishing LLC,242
LookUs Bilisim A.S.,241
Academia.edu,241
Science Publishing Group,241
Intellect,239
Negah Scientific Publisher,237
University of Toronto Press Inc. (UTPress),236
Index Copernicus,236
Everant Journals,236
Fortune Journals,234
American Physiological Society,233
American Society of Nephrology (ASN),232
Human Resources Management Academic Research Society (HRMARS),231
Medwin Publishers,231
Scientific Research and Community Ltd,229
Institute of Advanced Engineering and Science,229
American Society for Clinical Investigation,228
African Journals Online (AJOL),228
Emerald Publishing Limited,227
The Electrochemical Society,227
World Scientific Pub Co Pte Ltd,226
RCN Publishing Ltd.,224
FAO,223
Morressier,222
American Psychiatric Association Publishing,221
Journal of Infection in Developing Countries,221
GSC Online Press,221
Modestum Publishing Ltd,220
South African Medical Association NPC,217
University of California Press,213
Sciedu Press,213
Hans Publishers,211
British Medical Journal Publishing Group,207
Radiance Research Academy,204
"University Library System, University of Pittsburgh",203
Opast Group LLC,202
"SLACK, Inc.",200
"Ubiquity Press, Ltd.",199
Universitas Pendidikan Ganesha,198
Bionika Media,189
"Research, Society and Development",189
"MedCrave Group, LLC",188
International Association of Online Engineering (IAOE),187
Galore Knowledge Publication Pvt. Ltd.,186
"Elmer Press, Inc.",186
International Journal Of Advanced Research,186
ISMA SYC INT,185
Ivyspring International Publisher,184
Pensoft Publishers,184
Peertechz Publications Private Limited,182
Organisation for Economic Co-Operation and Development (OECD),182
European Open Science Publishing,181
SynthesisHub Advance Scientific Research,180
BMJ Publishing Group Ltd and British Thoracic Society,178
American Association for Cancer Research,177
Universitas Gadjah Mada,176
CMA Joule Inc.,176
"International Institute for Science, Technology and Education",174
ScienceOpen,172
MDPI,172
BMJ Publishing Group Ltd and Royal College of Paediatrics and Child Health,172
Public Health Scotland,171
Berghahn Books,170
"Impact Journals, LLC",165
Turkiye Klinikleri,164
British Editorial Society of Bone & Joint Surgery,163
Royal College of General Practitioners,162
The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS,159
sPage.direcT,158
AMG Transcend Association,157
Chinese Center for Disease Control and Prevention,156
College of Physicians and Surgeons Pakistan,154
Universitas Sebelas Maret,154
Addleton Academic Publishers,154
Academy of Science of South Africa,153
Universitas Mataram,153
Advanced Research Publications,153
Universitas Muhammadiyah Sidoarjo,152
Western Journal of Emergency Medicine,151
The Russian Academy of Sciences,150
"Physicians Postgraduate Press, Inc",148
Edward Elgar Publishing,148
EManuscript Technologies,147
Knowledge E DMCC,147
Universitas Udayana,147
American Speech Language Hearing Association,145
WORLD SCIENTIFIC,145
Austin Publishing Group,144
A and V Publications,143
LLC CPC Business Perspectives,142
Innovare Academic Sciences Pvt Ltd,142
Scholar Publishing,140
Portland Press Ltd.,139
Japanese Society of Internal Medicine,136
SPIE,135
Global Academic Excellence (M) Sdn Bhd,135
CSIRO Publishing,135
Future Science Ltd,134
"EMH Swiss Medical Publishers, Ltd.",134
Institute of Development Studies (IDS),133
CMA Impact Inc.,133
"Open Access Text Pvt, Ltd.",133
Akademiai Kiado Zrt.,129
"Academy of Medicine, Singapore",129
Asociatia LUMEN,128
"Frontline Medical Communications, Inc.",128
Valley International,128
Human Kinetics,128
Universitas Negeri Semarang,127
United Nations Publications,127
Institute for Operations Research and the Management Sciences (INFORMS),126
Royal College of Surgeons of England,126
Heighten Science Publications Corporation,125
Institute of Research and Community Services Diponegoro University (LPPM UNDIP),125
SciVision Publishers LLC,125
BiomedGrid LLC,124
The Russian Presidential Academy of National Economy and Public Administration,124
United Nations,124
Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,122
Pakistan Journal of Medical Sciences,121
AkiNik Publications,121
Environmental Health Perspectives,121
"Remedium, Ltd.",120
National Library of Serbia,120
PLUS COMMUNICATION CONSULTING SRL,118
American Roentgen Ray Society,118
Kluwer Law International BV,118
STAR Scholars Network,118
Sumy State University,117
"Macrothink Institute, Inc.",116
RAND Corporation,116
SMC Media,116
"Scholink Co, Ltd.",116
