Subjects,Number of publications
General Medicine,67699
"Public Health, Environmental and Occupational Health",23811
Infectious Diseases,23117
Immunology,11363
Microbiology (medical),11327
Multidisciplinary,9759
Psychiatry and Mental health,9606
Education,9044
Cardiology and Cardiovascular Medicine,8598
Surgery,8533
Health Policy,8412
Virology,8122
Immunology and Allergy,7946
"General Biochemistry, Genetics and Molecular Biology",6928
Pharmacology,6839
Computer Science Applications,6692
Oncology,6547
Pharmacology (medical),6449
"Health, Toxicology and Mutagenesis",6187
Neurology (clinical),6186
"Pediatrics, Perinatology and Child Health",6070
Molecular Biology,5967
"Geography, Planning and Development",5616
Health (social science),5559
General Engineering,5531
Microbiology,5510
Epidemiology,5435
Pulmonary and Respiratory Medicine,5228
Biochemistry,5186
General Environmental Science,4542
Health Informatics,4529
Sociology and Political Science,4433
"Radiology, Nuclear Medicine and imaging",4307
Critical Care and Intensive Care Medicine,4243
Medicine (miscellaneous),4194
Internal Medicine,4116
Drug Discovery,4067
"Endocrinology, Diabetes and Metabolism",3969
General Psychology,3882
"Management, Monitoring, Policy and Law",3864
Hematology,3718
Cell Biology,3713
General Earth and Planetary Sciences,3577
Genetics,3326
Cancer Research,3319
Economics and Econometrics,3213
General Immunology and Microbiology,3206
Obstetrics and Gynecology,3019
Molecular Medicine,3008
"Renewable Energy, Sustainability and the Environment",2896
Emergency Medicine,2830
Gastroenterology,2794
Neurology,2772
Strategy and Management,2720
Clinical Psychology,2644
Pharmaceutical Science,2587
General Nursing,2467
Anesthesiology and Pain Medicine,2446
Clinical Biochemistry,2398
Nutrition and Dietetics,2341
Law,2332
Electrical and Electronic Engineering,2242
General Chemistry,2206
Health Information Management,2147
Geriatrics and Gerontology,2144
Developmental and Educational Psychology,2121
History,2116
Business and International Management,2075
Biotechnology,2043
Applied Mathematics,2014
Rheumatology,2005
Nephrology,1974
Otorhinolaryngology,1948
Pollution,1922
Orthopedics and Sports Medicine,1907
Social Psychology,1879
General Materials Science,1876
"General Pharmacology, Toxicology and Pharmaceutics",1834
Ophthalmology,1810
Hepatology,1795
General Agricultural and Biological Sciences,1780
Communication,1775
